name,risk,effects,avoid_for,description
Gotu Kola Extract,Low,Generally safe,None,Collagen - wound healing
Horse Chestnut Extract,Low,Generally safe,None,Circulation - varicose
Butcher's Broom Extract,Low,Generally safe,None,Circulation - anti-inflammatory
Palmitoyl Peptide-1,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-1,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-2,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-2,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-3,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-3,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-4,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-4,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-5,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-5,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-6,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-6,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-7,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-7,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-8,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-8,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-9,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-9,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-10,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-10,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-11,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-11,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-12,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-12,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-13,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-13,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-14,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-14,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Peptide-15,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Palmitoyl Oligopeptide-15,Low,Generally safe,None,Bioactive peptide Palmitoyl - skin repair
Acetyl Peptide-1,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-1,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-2,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-2,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-3,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-3,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-4,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-4,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-5,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-5,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-6,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-6,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-7,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-7,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-8,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-8,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-9,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-9,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-10,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-10,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-11,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-11,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-12,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-12,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-13,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-13,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-14,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-14,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Peptide-15,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Acetyl Oligopeptide-15,Low,Generally safe,None,Bioactive peptide Acetyl - skin repair
Hexapeptide Peptide-1,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-1,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-2,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-2,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-3,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-3,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-4,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-4,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-5,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-5,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-6,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-6,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-7,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-7,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-8,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-8,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-9,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-9,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-10,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-10,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-11,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-11,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-12,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-12,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-13,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-13,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-14,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-14,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Peptide-15,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Hexapeptide Oligopeptide-15,Low,Generally safe,None,Bioactive peptide Hexapeptide - skin repair
Tripeptide Peptide-1,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-1,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-2,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-2,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-3,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-3,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-4,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-4,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-5,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-5,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-6,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-6,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-7,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-7,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-8,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-8,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-9,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-9,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-10,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-10,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-11,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-11,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-12,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-12,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-13,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-13,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-14,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-14,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Peptide-15,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tripeptide Oligopeptide-15,Low,Generally safe,None,Bioactive peptide Tripeptide - skin repair
Tetrapeptide Peptide-1,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-1,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-2,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-2,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-3,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-3,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-4,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-4,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-5,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-5,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-6,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-6,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-7,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-7,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-8,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-8,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-9,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-9,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-10,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-10,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-11,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-11,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-12,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-12,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-13,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-13,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-14,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-14,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Peptide-15,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Tetrapeptide Oligopeptide-15,Low,Generally safe,None,Bioactive peptide Tetrapeptide - skin repair
Pentapeptide Peptide-1,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-1,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-2,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-2,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-3,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-3,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-4,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-4,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-5,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-5,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-6,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-6,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-7,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-7,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-8,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-8,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-9,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-9,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-10,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-10,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-11,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-11,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-12,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-12,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-13,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-13,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-14,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-14,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Peptide-15,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Pentapeptide Oligopeptide-15,Low,Generally safe,None,Bioactive peptide Pentapeptide - skin repair
Apple Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Grape Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Rose Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Lily Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Orchid Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Jasmine Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Lotus Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Edelweiss Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Snow Mushroom Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Marine Algae Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Eucalyptus Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Olive Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Argan Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Bamboo Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Ginseng Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Elderflower Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Blackberry Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Raspberry Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Strawberry Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Blueberry Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Cranberry Stem Cells,Low,Generally safe,None,Plant stem cell - regenerative
Aspergillus/Soybean Ferment Extract,Low,Generally safe,None,Fermented extract - probiotics
Leuconostoc/Radish Root Ferment Filtrate,Low,Generally safe,None,Fermented extract - probiotics
Lactobacillus/Punica Granatum Fruit Ferment Extract,Low,Generally safe,None,Fermented extract - probiotics
Bifidobacterium/Longum Ferment Extract,Low,Generally safe,None,Fermented extract - probiotics
Streptococcus Thermophilus Ferment Extract,Low,Generally safe,None,Fermented extract - probiotics
Bacillus Coagulans Ferment,Low,Generally safe,None,Fermented extract - probiotics
Lactobacillus/kefir Ferment,Low,Generally safe,None,Fermented extract - probiotics
Saccharomyces/Xylinum/Black Tea Ferment,Low,Generally safe,None,Fermented extract - probiotics
Rice Bran Ferment Extract,Low,Generally safe,None,Fermented extract - probiotics
Black Tea Ferment,Low,Generally safe,None,Fermented extract - probiotics
White Tea Ferment,Low,Generally safe,None,Fermented extract - probiotics
Oolong Tea Ferment,Low,Generally safe,None,Fermented extract - probiotics
Pu-erh Tea Ferment,Low,Generally safe,None,Fermented extract - probiotics
Kombucha Extract,Low,Generally safe,None,Fermented extract - probiotics
Kefir Ferment,Low,Generally safe,None,Fermented extract - probiotics
Tibetan Tea Ferment,Low,Generally safe,None,Fermented extract - probiotics
Diethylhexyl Salicylate,Low,Generally safe,None,UV absorber - photostable
Diethylhexyl Methoxynonyl,Low,Generally safe,None,UV absorber - photostable
Dioxybenzone Salicylate,Low,Generally safe,None,UV absorber - photostable
Dioxybenzone Methoxynonyl,Low,Generally safe,None,UV absorber - photostable
Sulisobenzone Salicylate,Low,Generally safe,None,UV absorber - photostable
Sulisobenzone Methoxynonyl,Low,Generally safe,None,UV absorber - photostable
Sodium Myristyl Sulfate,Low,Varies by concentration,Dry Skin,Surfactant - cleansing
Sodium Cetyl Sulfate,Moderate,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Sodium Stearyl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Sodium Oleyl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Potassium Lauryl Sulfate,Low,Varies by concentration,Dry Skin,Surfactant - cleansing
Potassium Myristyl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Potassium Cetyl Sulfate,Moderate,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Potassium Stearyl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Potassium Oleyl Sulfate,Low,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Ammonium Myristyl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Ammonium Cetyl Sulfate,Low,Varies by concentration,Dry Skin,Surfactant - cleansing
Ammonium Stearyl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Ammonium Oleyl Sulfate,Low,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Magnesium Lauryl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Magnesium Myristyl Sulfate,Moderate,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Magnesium Cetyl Sulfate,Moderate,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Magnesium Stearyl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Magnesium Oleyl Sulfate,Moderate,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Calcium Lauryl Sulfate,Low,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Calcium Myristyl Sulfate,Low,Varies by concentration,Dry Skin,Surfactant - cleansing
Calcium Cetyl Sulfate,Moderate,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Calcium Stearyl Sulfate,Moderate,Varies by concentration,Sensitive Skin,Surfactant - cleansing
Calcium Oleyl Sulfate,Moderate,Varies by concentration,Dry Skin,Surfactant - cleansing
Methyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Ethyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Propyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Butyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Isopropyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Phenyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Dimethicone Cone,Low,Generally safe,Acne-Prone Skin,Silicone - conditioning/smoothing
Dimethicone Siloxane,Low,Generally safe,None,Silicone - conditioning/smoothing
Dimethicone Thicone,Low,Generally safe,None,Silicone - conditioning/smoothing
Dimethicone Siloxysilicate,Low,Generally safe,None,Silicone - conditioning/smoothing
Cyclomethicone Cone,Low,Generally safe,Acne-Prone Skin,Silicone - conditioning/smoothing
Cyclomethicone Siloxane,Low,Generally safe,None,Silicone - conditioning/smoothing
Cyclomethicone Thicone,Low,Generally safe,None,Silicone - conditioning/smoothing
Cyclomethicone Siloxysilicate,Low,Generally safe,None,Silicone - conditioning/smoothing
Phenyl Cone,Low,Generally safe,Acne-Prone Skin,Silicone - conditioning/smoothing
Phenyl Siloxane,Low,Generally safe,None,Silicone - conditioning/smoothing
Phenyl Thicone,Low,Generally safe,None,Silicone - conditioning/smoothing
Phenyl Siloxysilicate,Low,Generally safe,None,Silicone - conditioning/smoothing
Amino Cone,Low,Generally safe,Acne-Prone Skin,Silicone - conditioning/smoothing
Amino Siloxane,Low,Generally safe,None,Silicone - conditioning/smoothing
Amino Thicone,Low,Generally safe,None,Silicone - conditioning/smoothing
Amino Siloxysilicate,Low,Generally safe,None,Silicone - conditioning/smoothing
Chamomile Root Extract,Low,Generally safe,None,Natural extract - chamomile
Chamomile Leaf Extract,Low,Generally safe,None,Natural extract - chamomile
Chamomile Stem Extract,Low,Generally safe,None,Natural extract - chamomile
Chamomile Flower Extract,Low,Generally safe,None,Natural extract - chamomile
Lavender Root Extract,Low,Generally safe,None,Natural extract - lavender
Lavender Leaf Extract,Low,Generally safe,None,Natural extract - lavender
Lavender Stem Extract,Low,Generally safe,None,Natural extract - lavender
Lavender Flower Extract,Low,Generally safe,None,Natural extract - lavender
Rose Root Extract,Low,Generally safe,None,Natural extract - rose
Rose Leaf Extract,Low,Generally safe,None,Natural extract - rose
Rose Stem Extract,Low,Generally safe,None,Natural extract - rose
Rose Flower Extract,Low,Generally safe,None,Natural extract - rose
Jasmine Root Extract,Low,Generally safe,None,Natural extract - jasmine
Jasmine Leaf Extract,Low,Generally safe,None,Natural extract - jasmine
Jasmine Stem Extract,Low,Generally safe,None,Natural extract - jasmine
Jasmine Flower Extract,Low,Generally safe,None,Natural extract - jasmine
Lotus Root Extract,Low,Generally safe,None,Natural extract - lotus
Lotus Leaf Extract,Low,Generally safe,None,Natural extract - lotus
Lotus Stem Extract,Low,Generally safe,None,Natural extract - lotus
Lotus Flower Extract,Low,Generally safe,None,Natural extract - lotus
Orchid Root Extract,Low,Generally safe,None,Natural extract - orchid
Orchid Leaf Extract,Low,Generally safe,None,Natural extract - orchid
Orchid Stem Extract,Low,Generally safe,None,Natural extract - orchid
Orchid Flower Extract,Low,Generally safe,None,Natural extract - orchid
Hibiscus Root Extract,Low,Generally safe,None,Natural extract - hibiscus
Hibiscus Leaf Extract,Low,Generally safe,None,Natural extract - hibiscus
Hibiscus Stem Extract,Low,Generally safe,None,Natural extract - hibiscus
Hibiscus Flower Extract,Low,Generally safe,None,Natural extract - hibiscus
Magnolia Root Extract,Low,Generally safe,None,Natural extract - magnolia
Magnolia Leaf Extract,Low,Generally safe,None,Natural extract - magnolia
Magnolia Stem Extract,Low,Generally safe,None,Natural extract - magnolia
Magnolia Flower Extract,Low,Generally safe,None,Natural extract - magnolia
Grape Root Extract,Low,Generally safe,None,Natural extract - grape
Grape Leaf Extract,Low,Generally safe,None,Natural extract - grape
Grape Stem Extract,Low,Generally safe,None,Natural extract - grape
Grape Flower Extract,Low,Generally safe,None,Natural extract - grape
Apple Root Extract,Low,Generally safe,None,Natural extract - apple
Apple Leaf Extract,Low,Generally safe,None,Natural extract - apple
Apple Stem Extract,Low,Generally safe,None,Natural extract - apple
Apple Flower Extract,Low,Generally safe,None,Natural extract - apple
Pear Root Extract,Low,Generally safe,None,Natural extract - pear
Pear Leaf Extract,Low,Generally safe,None,Natural extract - pear
Pear Stem Extract,Low,Generally safe,None,Natural extract - pear
Pear Flower Extract,Low,Generally safe,None,Natural extract - pear
Peach Root Extract,Low,Generally safe,None,Natural extract - peach
Peach Leaf Extract,Low,Generally safe,None,Natural extract - peach
Peach Stem Extract,Low,Generally safe,None,Natural extract - peach
Peach Flower Extract,Low,Generally safe,None,Natural extract - peach
Plum Root Extract,Low,Generally safe,None,Natural extract - plum
Plum Leaf Extract,Low,Generally safe,None,Natural extract - plum
Plum Stem Extract,Low,Generally safe,None,Natural extract - plum
Plum Flower Extract,Low,Generally safe,None,Natural extract - plum
Cherry Root Extract,Low,Generally safe,None,Natural extract - cherry
Cherry Leaf Extract,Low,Generally safe,None,Natural extract - cherry
Cherry Stem Extract,Low,Generally safe,None,Natural extract - cherry
Cherry Flower Extract,Low,Generally safe,None,Natural extract - cherry
Strawberry Root Extract,Low,Generally safe,None,Natural extract - strawberry
Strawberry Leaf Extract,Low,Generally safe,None,Natural extract - strawberry
Strawberry Stem Extract,Low,Generally safe,None,Natural extract - strawberry
Strawberry Flower Extract,Low,Generally safe,None,Natural extract - strawberry
