chemical_name,e_number,category,purpose,risk_level,health_concerns,safe_limit,aliases
Hydrolyzed Vegetable Protein,INS 635,Flavor Enhancer,Natural flavor enhancer,Low,Contains glutamates,Check labels,"E635,HVP,Hydrolyzed Vegetable Protein"
Hydrolyzed Protein,INS 635,Flavor Enhancer,Natural flavor enhancer,Low,Contains glutamates,Check labels,"E635,Hydrolyzed Protein"
Autolyzed Yeast Extract,INS 700,Flavor Enhancer,Natural flavor,Low,Contains glutamates,Check labels,"E700,Autolyzed Yeast Extract"
Sodium Caseinate,INS 469,Emulsifier,Milk protein,Minimal,Generally safe,Within limits,"E469,Sodium Caseinate"
Calcium Caseinate,INS 469,Emulsifier,Milk protein,Minimal,Generally safe,Within limits,"E469,Calcium Caseinate"
Whey Protein Concentrate,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Whey Protein Concentrate"
Whey Protein Isolate,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Whey Protein Isolate"
Soy Protein Isolate,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Soy Protein Isolate"
Pea Protein,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Pea Protein"
Wheat Gluten,INS 1200,Protein,Protein supplement,Minimal,Generally safe,Within limits,"E1200,Wheat Gluten"
Collagen Protein,INS 1200,Protein,Gelatin source,Minimal,Generally safe,Within limits,"E1200,Collagen Protein"
Methylparaben,INS 218,Preservative,Antimicrobial,Low,Endocrine disruption concerns,Limited,"E218,Methylparaben"
Ethylparaben,INS 214,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E214,Ethylparaben"
Propylparaben,INS 216,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E216,Propylparaben"
Butylparaben,INS 209,Preservative,Antimicrobial,Moderate,Endocrine concerns,Not recommended,"E209,Butylparaben"
Sodium Methylparaben,INS 219,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E219,Sodium Methylparaben"
Sodium Ethylparaben,INS 215,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E215,Sodium Ethylparaben"
Sodium Propylparaben,INS 217,Preservative,Antimicrobial,Low,Endocrine concerns,Limited,"E217,Sodium Propylparaben"
Sorbic Acid,INS 200,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E200,Sorbic Acid"
Sodium Sorbate,INS 201,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E201,Sodium Sorbate"
Potassium Sorbate,INS 202,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E202,Potassium Sorbate"
Calcium Sorbate,INS 203,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E203,Calcium Sorbate"
Benzoic Acid,INS 210,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E210,Benzoic Acid"
Sodium Benzoate,INS 211,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E211,Sodium Benzoate"
Potassium Benzoate,INS 212,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E212,Potassium Benzoate"
Calcium Benzoate,INS 213,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E213,Calcium Benzoate"
Sulfur Dioxide,INS 220,Preservative,Antioxidant,Low,Asthma triggers,Limited,"E220,Sulfur Dioxide"
Sodium Sulfite,INS 221,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E221,Sodium Sulfite"
Sodium Bisulfite,INS 222,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E222,Sodium Bisulfite"
Sodium Metabisulfite,INS 223,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E223,Sodium Metabisulfite"
Potassium Metabisulfite,INS 224,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E224,Potassium Metabisulfite"
Calcium Sulfite,INS 226,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E226,Calcium Sulfite"
Calcium Hydrogen Sulfite,INS 227,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E227,Calcium Hydrogen Sulfite"
Formic Acid,INS 236,Preservative,Antimicrobial,Low,Generally safe,Within limits,"E236,Formic Acid"
Sodium Formate,INS 237,Preservative,Preservative,Low,Generally safe,Within limits,"E237,Sodium Formate"
Calcium Formate,INS 238,Preservative,Preservative,Low,Generally safe,Within limits,"E238,Calcium Formate"
Acetic Acid,INS 260,Preservative,Preservative,Minimal,Generally safe,Within limits,"E260,Acetic Acid"
Sodium Acetate,INS 262,Preservative,Preservative,Minimal,Generally safe,Within limits,"E262,Sodium Acetate"
Diacetate,INS 263,Preservative,Preservative,Minimal,Generally safe,Within limits,"E263,Diacetate,Calcium Acetate"
Calcium Acetate,INS 263,Preservative,Preservative,Minimal,Generally safe,Within limits,"E263,Calcium Acetate"
Propionic Acid,INS 280,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E280,Propionic Acid"
Sodium Propionate,INS 281,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E281,Sodium Propionate"
Calcium Propionate,INS 282,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E282,Calcium Propionate"
Potassium Propionate,INS 283,Preservative,Mold inhibitor,Minimal,Generally safe,Within limits,"E283,Potassium Propionate"
Nisin,INS 234,Preservative,Bacteriocin,Minimal,Generally safe,Within limits,"E234,Nisin"
Natamycin,INS 235,Preservative,Fungal inhibitor,Minimal,Generally safe,Within limits,"E235,Natamycin,Pimaricin"
Lysozyme,INS 1105,Preservative,Enzyme preservative,Minimal,Generally safe,Within limits,"E1105,Lysozyme"
Benzoyl Peroxide,INS 928,Bleaching Agent,Bleaching agent,Moderate,May generate carcinogens,Limited,"E928,Benzoyl Peroxide"
Sodium Chlorite,INS 249,Other,Bleaching agent,Moderate,Toxic if misused,Limited,"E249,Sodium Chlorite"
Chlorine,INS 925,Other,Bleaching agent,Moderate,Toxic if misused,Limited,"E925,Chlorine"
Chlorine Dioxide,INS 926,Other,Bleaching agent,Moderate,Respiratory irritation,Limited,"E926,Chlorine Dioxide"
Potassium Bromate,INS 924,Flour Treatment Agent,Dough conditioner,High,Potential carcinogen,Not recommended,"E924,Potassium Bromate"
Bromate,INS 924,Flour Treatment Agent,Dough conditioner,High,Potential carcinogen,Not recommended,"E924,Bromate"
Ammonium Persulfate,INS 923,Other,Flour treatment,Moderate,Respiratory irritant,Limited,"E923,Ammonium Persulfate"
Dicalcium Phosphate,INS 341,Leavening Agent,Leavening agent,Minimal,Generally safe,Within limits,"E341,Dicalcium Phosphate"
Tricalcium Phosphate,INS 341,Leavening Agent,Leavening agent,Minimal,Generally safe,Within limits,"E341,Tricalcium Phosphate"
Aluminum Phosphate,INS 541,Leavening Agent,Leavening agent,Moderate,Aluminum exposure,Limited,"E541,Aluminum Phosphate"
Sodium Aluminum Phosphate,INS 541,Leavening Agent,Leavening agent,Moderate,Aluminum exposure,Limited,"E541,Sodium Aluminum Phosphate"
Calcium Acid Phosphate,INS 341,Leavening Agent,Leavening agent,Minimal,Generally safe,Within limits,"E341,Calcium Acid Phosphate"
Aluminum Sulfate,INS 520,Other,Pickling agent,Moderate,Aluminum exposure,Limited,"E520,Aluminum Sulfate"
Aluminum Sodium Sulfate,INS 521,Other,Pickling agent,Moderate,Aluminum exposure,Limited,"E521,Aluminum Sodium Sulfate"
Aluminum Ammonium Sulfate,INS 523,Other,Pickling agent,Moderate,Aluminum exposure,Limited,"E523,Aluminum Ammonium Sulfate"
Aluminum Potassium Sulfate,INS 522,Other,Pickling agent,Moderate,Aluminum exposure,Limited,"E522,Aluminum Potassium Sulfate"
